Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -242248.070  -242248.070        0.000     0.0
0.0100      -242248.130  -242253.951        5.821   121.4
0.0200      -242248.132  -242254.691        6.560   136.8
0.0300      -242248.143  -242254.525        6.382   133.1
0.0400      -242248.147  -242255.972        7.825   163.2
0.0500      -242248.151  -242256.843        8.692   181.3
0.0600      -242248.127  -242255.769        7.642   159.4
0.0700      -242248.148  -242256.563        8.415   175.5
0.0800      -242248.136  -242257.086        8.950   186.6
0.0900      -242248.133  -242255.871        7.738   161.4
0.1000      -242248.134  -242257.235        9.101   189.8
0.1100      -242248.134  -242257.239        9.105   189.9
0.1200      -242248.138  -242257.413        9.275   193.4
0.1300      -242248.133  -242256.978        8.845   184.4
0.1400      -242248.149  -242258.630       10.481   218.6
0.1500      -242248.147  -242256.453        8.306   173.2
0.1600      -242248.127  -242258.318       10.191   212.5
0.1700      -242248.161  -242258.558       10.397   216.8
0.1800      -242248.148  -242257.966        9.818   204.7
0.1900      -242248.139  -242258.327       10.188   212.4
0.2000      -242248.148  -242258.952       10.804   225.3
0.2100      -242248.144  -242258.104        9.960   207.7
0.2200      -242248.118  -242257.968        9.850   205.4
0.2300      -242248.129  -242259.175       11.046   230.3
0.2400      -242248.164  -242259.847       11.682   243.6
0.2500      -242248.129  -242258.465       10.336   215.5
0.2600      -242248.160  -242260.287       12.128   252.9
0.2700      -242248.105  -242258.502       10.397   216.8
0.2800      -242248.144  -242257.676        9.532   198.8
0.2900      -242248.154  -242258.740       10.586   220.7
0.3000      -242248.158  -242258.837       10.679   222.7
0.3100      -242248.117  -242258.429       10.312   215.0
0.3200      -242248.163  -242258.647       10.484   218.6
0.3300      -242248.169  -242259.242       11.073   230.9
0.3400      -242248.159  -242258.600       10.442   217.7
0.3500      -242248.109  -242258.027        9.918   206.8
0.3600      -242248.143  -242258.997       10.854   226.3
0.3700      -242248.159  -242258.007        9.849   205.4
0.3800      -242248.173  -242258.500       10.328   215.4
0.3900      -242248.144  -242258.553       10.410   217.1
0.4000      -242248.117  -242257.166        9.049   188.7
0.4100      -242248.151  -242258.032        9.881   206.0
0.4200      -242248.180  -242258.934       10.754   224.2
0.4300      -242248.138  -242258.808       10.670   222.5
0.4400      -242248.143  -242258.692       10.549   220.0
0.4500      -242248.150  -242258.407       10.256   213.9
0.4600      -242248.148  -242259.236       11.088   231.2
