Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.2600      -219590.282  -219599.447        9.166   206.7
1.2700      -219590.285  -219599.432        9.147   206.3
1.2800      -219590.282  -219599.765        9.483   213.9
1.2900      -219590.281  -219599.487        9.206   207.6
1.3000      -219590.283  -219599.177        8.894   200.6
1.3100      -219590.283  -219599.032        8.748   197.3
1.3200      -219590.280  -219599.540        9.260   208.9
1.3300      -219590.279  -219599.566        9.287   209.5
1.3400      -219590.287  -219600.013        9.726   219.4
1.3500      -219590.282  -219599.607        9.325   210.3
1.3600      -219590.276  -219599.118        8.841   199.4
1.3700      -219590.281  -219599.290        9.009   203.2
1.3800      -219590.287  -219599.557        9.270   209.1
1.3900      -219590.282  -219599.523        9.241   208.4
1.4000      -219590.280  -219599.604        9.324   210.3
1.4100      -219590.288  -219599.251        8.962   202.1
1.4200      -219590.283  -219599.124        8.840   199.4
1.4300      -219590.281  -219599.872        9.591   216.3
1.4400      -219590.280  -219599.354        9.074   204.7
1.4500      -219590.285  -219599.276        8.991   202.8
1.4600      -219590.284  -219599.467        9.183   207.1
1.4700      -219590.279  -219599.120        8.842   199.4
1.4800      -219590.284  -219599.435        9.152   206.4
1.4900      -219590.282  -219599.458        9.176   207.0
1.5000      -219590.276  -219598.916        8.640   194.9
1.5100      -219590.280  -219599.315        9.035   203.8
1.5200      -219590.285  -219599.531        9.246   208.5
1.5300      -219590.288  -219599.426        9.138   206.1
1.5400      -219590.281  -219598.960        8.680   195.8
1.5500      -219590.279  -219598.910        8.631   194.7
1.5600      -219590.284  -219599.192        8.909   200.9
1.5700      -219590.284  -219599.721        9.437   212.8
1.5800      -219590.280  -219599.558        9.278   209.3
1.5900      -219590.283  -219599.409        9.127   205.9
1.6000      -219590.287  -219599.026        8.739   197.1
1.6100      -219590.281  -219598.903        8.622   194.5
1.6200      -219590.274  -219598.873        8.599   193.9
1.6300      -219590.287  -219599.369        9.083   204.9
1.6400      -219590.288  -219599.373        9.085   204.9
1.6500      -219590.282  -219599.227        8.944   201.7
1.6600      -219590.280  -219599.488        9.208   207.7
1.6700      -219590.281  -219599.427        9.146   206.3
1.6800      -219590.284  -219599.483        9.200   207.5
1.6900      -219590.282  -219599.690        9.407   212.2
1.7000      -219590.278  -219598.706        8.428   190.1
1.7100      -219590.286  -219599.099        8.813   198.8
1.7200      -219590.284  -219598.801        8.518   192.1
1.7300      -219590.283  -219598.876        8.593   193.8
1.7400      -219590.284  -219598.891        8.607   194.1
1.7500      -219590.288  -219599.143        8.855   199.7
1.7600      -219590.283  -219599.152        8.869   200.0
1.7700      -219590.277  -219599.177        8.900   200.7
1.7800      -219590.282  -219598.905        8.623   194.5
1.7900      -219590.283  -219599.159        8.875   200.2
1.8000      -219590.280  -219599.311        9.031   203.7
1.8100      -219590.279  -219598.940        8.661   195.4
1.8200      -219590.286  -219599.076        8.790   198.3
1.8300      -219590.290  -219599.693        9.402   212.1
1.8400      -219590.280  -219599.601        9.321   210.2
1.8500      -219590.282  -219599.582        9.300   209.8
1.8600      -219590.287  -219599.749        9.463   213.4
1.8700      -219590.280  -219599.577        9.297   209.7
1.8800      -219590.279  -219599.818        9.538   215.1
1.8900      -219590.283  -219599.509        9.226   208.1
1.9000      -219590.288  -219599.694        9.406   212.2
1.9100      -219590.285  -219599.954        9.669   218.1
1.9200      -219590.287  -219599.717        9.430   212.7
1.9300      -219590.288  -219599.408        9.120   205.7
1.9400      -219590.284  -219600.004        9.720   219.2
1.9500      -219590.278  -219599.801        9.523   214.8
1.9600      -219590.283  -219600.097        9.814   221.4
1.9700      -219590.285  -219599.531        9.245   208.5
1.9800      -219590.286  -219599.366        9.080   204.8
1.9900      -219590.280  -219599.301        9.021   203.5
2.0000      -219590.282  -219599.413        9.131   206.0
2.0100      -219590.288  -219599.657        9.368   211.3
2.0200      -219590.287  -219599.502        9.215   207.8
2.0300      -219590.281  -219599.345        9.064   204.4
2.0400      -219590.281  -219599.304        9.023   203.5
2.0500      -219590.283  -219599.265        8.981   202.6
2.0600      -219590.286  -219599.415        9.129   205.9
2.0700      -219590.286  -219599.287        9.000   203.0
2.0800      -219590.288  -219599.312        9.024   203.5
2.0900      -219590.288  -219600.066        9.778   220.5
2.1000      -219590.279  -219599.622        9.343   210.7
2.1100      -219590.278  -219599.624        9.346   210.8
2.1200      -219590.280  -219599.160        8.880   200.3
2.1300      -219590.286  -219599.176        8.889   200.5
2.1400      -219590.288  -219599.390        9.102   205.3
2.1500      -219590.287  -219599.676        9.389   211.8
2.1600      -219590.282  -219599.424        9.142   206.2
2.1700      -219590.284  -219599.726        9.442   213.0
2.1800      -219590.283  -219598.994        8.711   196.5
2.1900      -219590.290  -219599.294        9.005   203.1
2.2000      -219590.288  -219599.269        8.981   202.6
2.2100      -219590.287  -219600.198        9.911   223.5
2.2200      -219590.288  -219600.511       10.223   230.6
2.2300      -219590.286  -219600.567       10.281   231.9
2.2400      -219590.286  -219600.627       10.341   233.2
2.2500      -219590.283  -219600.085        9.802   221.1
2.2600      -219590.285  -219600.162        9.878   222.8
