Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.2600      -201778.651  -201787.978        9.327   235.8
1.2700      -201778.649  -201787.891        9.243   233.7
1.2800      -201778.638  -201787.741        9.103   230.1
1.2900      -201778.640  -201788.092        9.452   239.0
1.3000      -201778.647  -201788.071        9.424   238.3
1.3100      -201778.659  -201788.314        9.655   244.1
1.3200      -201778.658  -201788.164        9.505   240.3
1.3300      -201778.641  -201788.300        9.659   244.2
1.3400      -201778.654  -201788.414        9.760   246.7
1.3500      -201778.664  -201788.523        9.859   249.3
1.3600      -201778.657  -201788.476        9.819   248.2
1.3700      -201778.648  -201788.176        9.528   240.9
1.3800      -201778.646  -201787.906        9.260   234.1
1.3900      -201778.640  -201787.361        8.721   220.5
1.4000      -201778.648  -201788.735       10.088   255.0
1.4100      -201778.655  -201788.708       10.053   254.2
1.4200      -201778.658  -201788.179        9.521   240.7
1.4300      -201778.649  -201788.019        9.370   236.9
1.4400      -201778.648  -201787.965        9.317   235.6
1.4500      -201778.659  -201788.284        9.625   243.3
1.4600      -201778.656  -201787.958        9.302   235.2
1.4700      -201778.650  -201788.079        9.429   238.4
1.4800      -201778.648  -201788.605        9.957   251.7
1.4900      -201778.646  -201788.086        9.440   238.7
1.5000      -201778.654  -201788.574        9.920   250.8
1.5100      -201778.650  -201787.739        9.090   229.8
1.5200      -201778.655  -201787.925        9.270   234.4
1.5300      -201778.651  -201788.026        9.375   237.0
1.5400      -201778.640  -201787.948        9.308   235.3
1.5500      -201778.655  -201788.000        9.345   236.3
1.5600      -201778.664  -201788.383        9.718   245.7
1.5700      -201778.655  -201787.622        8.967   226.7
1.5800      -201778.649  -201787.756        9.107   230.3
1.5900      -201778.640  -201787.493        8.852   223.8
1.6000      -201778.637  -201788.070        9.433   238.5
1.6100      -201778.646  -201788.137        9.491   240.0
1.6200      -201778.663  -201787.613        8.950   226.3
1.6300      -201778.664  -201788.174        9.510   240.4
1.6400      -201778.651  -201788.283        9.632   243.5
1.6500      -201778.648  -201787.653        9.005   227.7
1.6600      -201778.658  -201788.094        9.435   238.5
1.6700      -201778.653  -201787.952        9.299   235.1
1.6800      -201778.653  -201788.446        9.793   247.6
1.6900      -201778.648  -201788.276        9.628   243.4
1.7000      -201778.651  -201788.029        9.379   237.1
1.7100      -201778.657  -201788.555        9.899   250.3
1.7200      -201778.651  -201788.234        9.583   242.3
1.7300      -201778.655  -201788.122        9.467   239.4
1.7400      -201778.658  -201788.235        9.576   242.1
1.7500      -201778.648  -201787.795        9.147   231.3
1.7600      -201778.645  -201788.433        9.788   247.5
1.7700      -201778.649  -201788.359        9.709   245.5
1.7800      -201778.641  -201787.681        9.040   228.6
1.7900      -201778.651  -201788.403        9.753   246.6
1.8000      -201778.657  -201788.262        9.605   242.8
1.8100      -201778.662  -201788.839       10.177   257.3
1.8200      -201778.658  -201788.552        9.894   250.1
1.8300      -201778.650  -201788.529        9.879   249.8
1.8400      -201778.653  -201788.322        9.670   244.5
1.8500      -201778.652  -201787.777        9.125   230.7
1.8600      -201778.661  -201788.357        9.696   245.1
1.8700      -201778.659  -201787.294        8.635   218.3
1.8800      -201778.660  -201787.897        9.237   233.5
1.8900      -201778.655  -201787.941        9.286   234.8
1.9000      -201778.645  -201787.841        9.196   232.5
1.9100      -201778.648  -201787.964        9.315   235.5
1.9200      -201778.647  -201788.484        9.837   248.7
1.9300      -201778.657  -201788.402        9.745   246.4
1.9400      -201778.662  -201788.049        9.387   237.3
1.9500      -201778.661  -201788.533        9.872   249.6
1.9600      -201778.651  -201787.585        8.934   225.9
1.9700      -201778.654  -201787.529        8.875   224.4
1.9800      -201778.656  -201787.417        8.761   221.5
1.9900      -201778.657  -201788.149        9.493   240.0
2.0000      -201778.659  -201788.665       10.006   253.0
2.0100      -201778.660  -201788.278        9.618   243.2
2.0200      -201778.657  -201787.662        9.004   227.7
2.0300      -201778.664  -201788.488        9.824   248.4
2.0400      -201778.658  -201787.963        9.305   235.2
2.0500      -201778.651  -201787.829        9.178   232.0
2.0600      -201778.648  -201787.315        8.667   219.1
2.0700      -201778.651  -201787.674        9.023   228.1
2.0800      -201778.651  -201787.743        9.092   229.9
2.0900      -201778.657  -201788.241        9.584   242.3
2.1000      -201778.649  -201787.945        9.296   235.0
2.1100      -201778.647  -201788.371        9.724   245.8
2.1200      -201778.650  -201789.024       10.374   262.3
2.1300      -201778.646  -201788.359        9.713   245.6
2.1400      -201778.658  -201788.551        9.892   250.1
2.1500      -201778.658  -201788.210        9.552   241.5
2.1600      -201778.660  -201789.053       10.393   262.7
2.1700      -201778.647  -201788.084        9.438   238.6
2.1800      -201778.646  -201788.216        9.570   241.9
2.1900      -201778.644  -201788.346        9.702   245.3
2.2000      -201778.653  -201788.817       10.164   257.0
2.2100      -201778.654  -201787.927        9.273   234.4
2.2200      -201778.659  -201787.913        9.254   234.0
2.2300      -201778.663  -201788.523        9.860   249.3
2.2400      -201778.661  -201788.410        9.749   246.5
2.2500      -201778.653  -201787.398        8.746   221.1
2.2600      -201778.652  -201787.655        9.002   227.6
2.2700      -201778.657  -201788.045        9.388   237.3
2.2800      -201778.660  -201788.237        9.576   242.1
2.2900      -201778.659  -201788.519        9.860   249.3
2.3000      -201778.661  -201788.948       10.287   260.1
2.3100      -201778.657  -201788.764       10.107   255.5
2.3200      -201778.660  -201788.024        9.364   236.8
2.3300      -201778.660  -201787.532        8.871   224.3
2.3400      -201778.657  -201787.858        9.201   232.6
2.3500      -201778.650  -201788.337        9.688   244.9
2.3600      -201778.648  -201787.937        9.289   234.8
2.3700      -201778.656  -201788.185        9.528   240.9
2.3800      -201778.656  -201788.065        9.409   237.9
2.3900      -201778.666  -201788.202        9.536   241.1
2.4000      -201778.668  -201788.100        9.432   238.5
2.4100      -201778.663  -201789.050       10.386   262.6
2.4200      -201778.650  -201788.651       10.001   252.8
2.4300      -201778.653  -201788.687       10.035   253.7
2.4400      -201778.651  -201787.755        9.105   230.2
2.4500      -201778.653  -201788.194        9.541   241.2
2.4600      -201778.653  -201788.158        9.504   240.3
2.4700      -201778.657  -201788.725       10.068   254.5
2.4800      -201778.657  -201788.535        9.879   249.8
2.4900      -201778.653  -201788.287        9.634   243.6
2.5000      -201778.654  -201788.929       10.276   259.8
2.5100      -201778.652  -201788.473        9.822   248.3
2.5200      -201778.655  -201788.299        9.644   243.8
2.5300      -201778.657  -201788.219        9.562   241.7
2.5400      -201778.651  -201787.789        9.139   231.0
2.5500      -201778.657  -201788.309        9.653   244.0
2.5600      -201778.660  -201788.676       10.016   253.2
2.5700      -201778.671  -201788.868       10.198   257.8
2.5800      -201778.662  -201788.041        9.378   237.1
2.5900      -201778.667  -201789.229       10.562   267.0
2.6000      -201778.657  -201788.754       10.097   255.3
2.6100      -201778.653  -201788.617        9.964   251.9
2.6200      -201778.655  -201788.069        9.414   238.0
2.6300      -201778.658  -201788.344        9.686   244.9
2.6400      -201778.664  -201788.426        9.762   246.8
2.6500      -201778.661  -201788.087        9.426   238.3
2.6600      -201778.659  -201788.474        9.814   248.1
2.6700      -201778.645  -201788.238        9.593   242.5
2.6800      -201778.644  -201788.295        9.651   244.0
2.6900      -201778.655  -201787.904        9.248   233.8
2.7000      -201778.667  -201788.286        9.619   243.2
2.7100      -201778.673  -201789.125       10.452   264.3
2.7200      -201778.660  -201788.371        9.710   245.5
2.7300      -201778.650  -201788.354        9.704   245.3
2.7400      -201778.649  -201788.843       10.194   257.7
2.7500      -201778.647  -201788.408        9.761   246.8
2.7600      -201778.651  -201787.981        9.330   235.9
2.7700      -201778.662  -201788.234        9.573   242.0
2.7800      -201778.673  -201789.318       10.646   269.1
2.7900      -201778.662  -201789.359       10.697   270.4
2.8000      -201778.644  -201788.759       10.115   255.7
2.8100      -201778.638  -201788.050        9.413   238.0
2.8200      -201778.662  -201789.192       10.530   266.2
2.8300      -201778.665  -201788.685       10.020   253.3
2.8400      -201778.662  -201788.680       10.017   253.3
2.8500      -201778.660  -201788.478        9.818   248.2
2.8600      -201778.658  -201788.199        9.542   241.2
2.8700      -201778.655  -201788.623        9.969   252.0
2.8800      -201778.647  -201787.713        9.065   229.2
2.8900      -201778.652  -201788.434        9.782   247.3
2.9000      -201778.663  -201789.647       10.984   277.7
2.9100      -201778.659  -201788.563        9.904   250.4
2.9200      -201778.652  -201788.227        9.575   242.1
2.9300      -201778.658  -201788.881       10.223   258.5
2.9400      -201778.655  -201788.250        9.595   242.6
2.9500      -201778.660  -201788.584        9.924   250.9
2.9600      -201778.663  -201788.286        9.624   243.3
2.9700      -201778.666  -201789.023       10.357   261.8
2.9800      -201778.663  -201788.729       10.066   254.5
2.9900      -201778.659  -201788.454        9.795   247.6
3.0000      -201778.654  -201787.976        9.322   235.7
3.0100      -201778.661  -201788.241        9.580   242.2
3.0200      -201778.661  -201788.134        9.473   239.5
3.0300      -201778.660  -201788.813       10.153   256.7
3.0400      -201778.656  -201788.051        9.394   237.5
3.0500      -201778.658  -201788.401        9.743   246.3
3.0600      -201778.653  -201788.083        9.429   238.4
3.0700      -201778.663  -201788.722       10.059   254.3
3.0800      -201778.659  -201788.780       10.120   255.9
3.0900      -201778.658  -201788.906       10.248   259.1
3.1000      -201778.648  -201788.282        9.634   243.6
3.1100      -201778.661  -201789.068       10.407   263.1
3.1200      -201778.672  -201789.369       10.697   270.4
3.1300      -201778.662  -201788.736       10.074   254.7
3.1400      -201778.658  -201789.203       10.545   266.6
3.1500      -201778.656  -201788.996       10.340   261.4
3.1600      -201778.654  -201788.474        9.820   248.3
3.1700      -201778.657  -201788.282        9.625   243.3
3.1800      -201778.657  -201788.356        9.699   245.2
3.1900      -201778.651  -201788.161        9.509   240.4
3.2000      -201778.657  -201788.456        9.799   247.7
3.2100      -201778.660  -201789.520       10.861   274.6
3.2200      -201778.646  -201789.019       10.373   262.2
3.2300      -201778.641  -201788.283        9.643   243.8
3.2400      -201778.660  -201788.918       10.259   259.4
3.2500      -201778.668  -201788.977       10.308   260.6
3.2600      -201778.666  -201788.821       10.156   256.8
3.2700      -201778.664  -201788.402        9.738   246.2
3.2800      -201778.659  -201788.286        9.627   243.4
3.2900      -201778.650  -201788.184        9.535   241.1
3.3000      -201778.653  -201788.146        9.493   240.0
3.3100      -201778.661  -201788.835       10.174   257.2
3.3200      -201778.664  -201789.314       10.651   269.3
3.3300      -201778.659  -201789.128       10.469   264.7
3.3400      -201778.657  -201789.207       10.551   266.7
3.3500      -201778.658  -201789.705       11.047   279.3
3.3600      -201778.654  -201789.365       10.711   270.8
3.3700      -201778.661  -201789.636       10.975   277.5
3.3800      -201778.660  -201788.952       10.292   260.2
3.3900      -201778.666  -201789.388       10.722   271.1
3.4000      -201778.666  -201788.734       10.069   254.6
3.4100      -201778.662  -201788.579        9.917   250.7
3.4200      -201778.651  -201788.219        9.569   241.9
3.4300      -201778.652  -201788.716       10.064   254.4
3.4400      -201778.662  -201788.808       10.146   256.5
3.4500      -201778.669  -201789.010       10.341   261.4
3.4600      -201778.665  -201788.881       10.215   258.3
3.4700      -201778.656  -201788.386        9.730   246.0
3.4800      -201778.655  -201788.462        9.807   247.9
3.4900      -201778.654  -201788.352        9.698   245.2
3.5000      -201778.657  -201788.708       10.051   254.1
3.5100      -201778.659  -201788.576        9.917   250.7
3.5200      -201778.667  -201789.155       10.488   265.1
3.5300      -201778.667  -201788.627        9.960   251.8
3.5400      -201778.670  -201789.171       10.501   265.5
3.5500      -201778.670  -201789.680       11.010   278.4
3.5600      -201778.653  -201789.021       10.368   262.1
3.5700      -201778.652  -201788.729       10.077   254.8
3.5800      -201778.666  -201789.069       10.404   263.0
3.5900      -201778.658  -201788.674       10.016   253.2
3.6000      -201778.653  -201788.356        9.703   245.3
3.6100      -201778.654  -201788.575        9.921   250.8
3.6200      -201778.658  -201788.952       10.294   260.3
3.6300      -201778.652  -201788.299        9.647   243.9
3.6400      -201778.660  -201788.562        9.902   250.3
3.6500      -201778.662  -201788.345        9.683   244.8
3.6600      -201778.661  -201788.751       10.090   255.1
3.6700      -201778.663  -201788.876       10.213   258.2
3.6800      -201778.666  -201788.842       10.175   257.3
3.6900      -201778.665  -201788.580        9.915   250.7
3.7000      -201778.659  -201788.008        9.349   236.4
3.7100      -201778.662  -201788.273        9.611   243.0
3.7200      -201778.667  -201788.858       10.192   257.7
3.7300      -201778.664  -201788.951       10.287   260.1
3.7400      -201778.658  -201788.912       10.253   259.2
3.7500      -201778.657  -201789.426       10.769   272.3
3.7600      -201778.651  -201788.713       10.062   254.4
3.7700      -201778.656  -201788.533        9.877   249.7
3.7800      -201778.663  -201788.808       10.146   256.5
3.7900      -201778.665  -201789.027       10.363   262.0
3.8000      -201778.667  -201788.647        9.981   252.3
3.8100      -201778.665  -201788.580        9.915   250.7
3.8200      -201778.666  -201788.688       10.022   253.4
3.8300      -201778.660  -201789.091       10.431   263.7
3.8400      -201778.662  -201789.257       10.595   267.9
3.8500      -201778.664  -201789.112       10.449   264.2
3.8600      -201778.663  -201789.091       10.428   263.6
3.8700      -201778.656  -201788.212        9.556   241.6
3.8800      -201778.666  -201788.987       10.321   260.9
3.8900      -201778.664  -201788.398        9.734   246.1
3.9000      -201778.659  -201788.880       10.222   258.4
3.9100      -201778.656  -201788.324        9.668   244.4
3.9200      -201778.658  -201789.348       10.690   270.3
3.9300      -201778.651  -201788.396        9.745   246.4
3.9400      -201778.658  -201788.425        9.767   246.9
3.9500      -201778.667  -201789.238       10.571   267.2
3.9600      -201778.658  -201788.504        9.847   248.9
3.9700      -201778.654  -201789.163       10.509   265.7
3.9800      -201778.666  -201789.552       10.886   275.2
3.9900      -201778.666  -201789.286       10.620   268.5
4.0000      -201778.664  -201788.651        9.987   252.5
4.0100      -201778.662  -201789.035       10.373   262.3
4.0200      -201778.664  -201789.691       11.027   278.8
4.0300      -201778.660  -201789.441       10.781   272.6
4.0400      -201778.656  -201788.770       10.115   255.7
4.0500      -201778.661  -201788.714       10.052   254.1
4.0600      -201778.666  -201788.808       10.142   256.4
4.0700      -201778.659  -201788.402        9.743   246.3
4.0800      -201778.657  -201788.987       10.330   261.2
4.0900      -201778.663  -201788.773       10.109   255.6
4.1000      -201778.666  -201788.802       10.135   256.2
4.1100      -201778.664  -201788.956       10.292   260.2
4.1200      -201778.659  -201788.703       10.044   253.9
4.1300      -201778.657  -201788.993       10.336   261.3
4.1400      -201778.647  -201788.333        9.686   244.9
4.1500      -201778.654  -201788.711       10.057   254.3
4.1600      -201778.667  -201788.977       10.310   260.7
4.1700      -201778.661  -201788.496        9.834   248.6
4.1800      -201778.651  -201787.948        9.297   235.1
4.1900      -201778.647  -201789.076       10.429   263.7
4.2000      -201778.650  -201788.869       10.220   258.4
4.2100      -201778.662  -201788.853       10.191   257.7
4.2200      -201778.669  -201788.826       10.157   256.8
4.2300      -201778.662  -201787.977        9.314   235.5
4.2400      -201778.652  -201787.908        9.255   234.0
4.2500      -201778.666  -201788.543        9.877   249.7
4.2600      -201778.676  -201789.093       10.417   263.4
4.2700      -201778.671  -201788.945       10.275   259.8
4.2800      -201778.660  -201788.107        9.447   238.8
4.2900      -201778.654  -201787.842        9.189   232.3
4.3000      -201778.658  -201788.558        9.900   250.3
4.3100      -201778.659  -201788.357        9.699   245.2
4.3200      -201778.664  -201789.286       10.623   268.6
4.3300      -201778.656  -201788.606        9.950   251.6
4.3400      -201778.659  -201788.581        9.922   250.8
4.3500      -201778.660  -201787.993        9.333   236.0
4.3600      -201778.670  -201788.770       10.100   255.3
4.3700      -201778.671  -201788.566        9.895   250.2
4.3800      -201778.670  -201788.550        9.881   249.8
4.3900      -201778.658  -201787.706        9.049   228.8
4.4000      -201778.659  -201787.897        9.237   233.5
4.4100      -201778.676  -201789.309       10.633   268.8
4.4200      -201778.674  -201788.512        9.838   248.7
4.4300      -201778.668  -201788.494        9.826   248.4
4.4400      -201778.654  -201788.281        9.627   243.4
4.4500      -201778.658  -201789.161       10.503   265.5
4.4600      -201778.662  -201789.042       10.380   262.4
4.4700      -201778.673  -201789.698       11.025   278.7
4.4800      -201778.666  -201788.618        9.952   251.6
4.4900      -201778.667  -201788.754       10.087   255.0
4.5000      -201778.662  -201788.500        9.839   248.7
4.5100      -201778.665  -201789.327       10.663   269.6
4.5200      -201778.669  -201789.099       10.430   263.7
4.5300      -201778.666  -201789.070       10.403   263.0
4.5400      -201778.667  -201789.125       10.458   264.4
4.5500      -201778.663  -201788.585        9.922   250.8
4.5600      -201778.660  -201788.634        9.973   252.2
4.5700      -201778.664  -201789.031       10.368   262.1
4.5800      -201778.666  -201788.930       10.264   259.5
4.5900      -201778.673  -201789.559       10.887   275.2
