Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.1000      -270209.340  -270219.895       10.555   201.6
1.1100      -270209.342  -270220.160       10.817   206.6
1.1200      -270209.345  -270220.019       10.675   203.9
1.1300      -270209.346  -270220.212       10.867   207.6
1.1400      -270209.337  -270220.493       11.156   213.1
1.1500      -270209.329  -270220.222       10.893   208.1
1.1600      -270209.332  -270219.999       10.667   203.8
1.1700      -270209.339  -270220.046       10.707   204.5
1.1800      -270209.338  -270219.386       10.048   191.9
1.1900      -270209.337  -270219.621       10.284   196.4
1.2000      -270209.337  -270219.565       10.228   195.4
1.2100      -270209.336  -270219.906       10.570   201.9
1.2200      -270209.330  -270220.237       10.907   208.4
1.2300      -270209.335  -270220.324       10.988   209.9
1.2400      -270209.347  -270220.411       11.064   211.4
1.2500      -270209.349  -270220.689       11.340   216.6
1.2600      -270209.343  -270220.975       11.632   222.2
1.2700      -270209.337  -270220.642       11.305   215.9
1.2800      -270209.334  -270220.137       10.803   206.4
1.2900      -270209.334  -270220.117       10.783   206.0
1.3000      -270209.329  -270220.128       10.799   206.3
1.3100      -270209.330  -270220.220       10.890   208.0
1.3200      -270209.335  -270220.118       10.783   206.0
1.3300      -270209.337  -270219.614       10.277   196.3
1.3400      -270209.341  -270219.523       10.182   194.5
1.3500      -270209.343  -270220.055       10.711   204.6
1.3600      -270209.345  -270220.181       10.836   207.0
1.3700      -270209.346  -270220.367       11.021   210.5
1.3800      -270209.344  -270220.455       11.111   212.2
1.3900      -270209.344  -270220.910       11.566   220.9
1.4000      -270209.343  -270220.830       11.487   219.4
1.4100      -270209.341  -270220.539       11.198   213.9
1.4200      -270209.335  -270219.747       10.412   198.9
1.4300      -270209.334  -270220.230       10.896   208.1
1.4400      -270209.332  -270220.505       11.173   213.4
1.4500      -270209.332  -270220.613       11.281   215.5
1.4600      -270209.335  -270220.668       11.333   216.5
1.4700      -270209.339  -270220.283       10.945   209.1
1.4800      -270209.341  -270219.854       10.512   200.8
1.4900      -270209.342  -270219.575       10.233   195.5
1.5000      -270209.342  -270220.015       10.673   203.9
1.5100      -270209.342  -270220.447       11.105   212.1
1.5200      -270209.341  -270220.657       11.316   216.2
1.5300      -270209.337  -270220.391       11.054   211.2
1.5400      -270209.337  -270220.592       11.255   215.0
1.5500      -270209.339  -270220.562       11.223   214.4
1.5600      -270209.336  -270220.397       11.061   211.3
1.5700      -270209.337  -270220.309       10.972   209.6
1.5800      -270209.335  -270220.409       11.074   211.5
1.5900      -270209.336  -270220.748       11.412   218.0
1.6000      -270209.339  -270220.712       11.372   217.2
1.6100      -270209.338  -270220.513       11.175   213.5
1.6200      -270209.336  -270219.988       10.652   203.5
1.6300      -270209.339  -270220.325       10.986   209.9
1.6400      -270209.338  -270220.000       10.661   203.7
1.6500      -270209.341  -270220.407       11.066   211.4
1.6600      -270209.341  -270220.098       10.757   205.5
1.6700      -270209.342  -270219.710       10.369   198.1
1.6800      -270209.343  -270219.906       10.563   201.8
1.6900      -270209.343  -270220.027       10.685   204.1
1.7000      -270209.339  -270220.270       10.932   208.8
1.7100      -270209.336  -270220.056       10.720   204.8
1.7200      -270209.337  -270219.897       10.561   201.7
1.7300      -270209.341  -270220.167       10.826   206.8
1.7400      -270209.342  -270220.384       11.042   210.9
1.7500      -270209.338  -270220.116       10.778   205.9
1.7600      -270209.340  -270220.791       11.451   218.7
1.7700      -270209.342  -270220.503       11.161   213.2
1.7800      -270209.342  -270220.078       10.736   205.1
1.7900      -270209.339  -270220.081       10.742   205.2
1.8000      -270209.339  -270220.431       11.092   211.9
1.8100      -270209.341  -270220.573       11.231   214.5
1.8200      -270209.340  -270220.060       10.720   204.8
1.8300      -270209.336  -270219.517       10.181   194.5
1.8400      -270209.339  -270220.202       10.863   207.5
1.8500      -270209.341  -270220.419       11.078   211.6
1.8600      -270209.339  -270220.037       10.697   204.3
1.8700      -270209.339  -270220.427       11.088   211.8
1.8800      -270209.338  -270220.071       10.733   205.0
1.8900      -270209.341  -270220.176       10.836   207.0
1.9000      -270209.339  -270219.828       10.489   200.4
1.9100      -270209.344  -270220.595       11.251   214.9
1.9200      -270209.348  -270220.891       11.543   220.5
1.9300      -270209.344  -270220.530       11.186   213.7
1.9400      -270209.338  -270220.602       11.264   215.2
1.9500      -270209.337  -270221.033       11.695   223.4
1.9600      -270209.335  -270220.676       11.341   216.6
1.9700      -270209.334  -270220.360       11.025   210.6
1.9800      -270209.334  -270220.452       11.118   212.4
1.9900      -270209.332  -270220.010       10.678   204.0
2.0000      -270209.335  -270220.263       10.929   208.8
2.0100      -270209.339  -270220.472       11.134   212.7
2.0200      -270209.343  -270221.019       11.675   223.0
2.0300      -270209.345  -270221.063       11.719   223.9
2.0400      -270209.346  -270221.129       11.782   225.1
2.0500      -270209.345  -270220.831       11.486   219.4
2.0600      -270209.348  -270221.110       11.762   224.7
2.0700      -270209.347  -270221.212       11.864   226.6
2.0800      -270209.342  -270221.455       12.113   231.4
2.0900      -270209.333  -270221.062       11.729   224.0
2.1000      -270209.333  -270221.387       12.053   230.2
2.1100      -270209.338  -270221.751       12.413   237.1
2.1200      -270209.340  -270221.551       12.211   233.3
2.1300      -270209.343  -270221.878       12.535   239.5
2.1400      -270209.341  -270221.456       12.116   231.4
2.1500      -270209.339  -270221.020       11.681   223.1
2.1600      -270209.340  -270220.880       11.540   220.4
2.1700      -270209.340  -270220.901       11.561   220.8
2.1800      -270209.343  -270221.223       11.880   226.9
2.1900      -270209.344  -270221.158       11.813   225.7
2.2000      -270209.347  -270221.335       11.988   229.0
2.2100      -270209.342  -270220.831       11.490   219.5
2.2200      -270209.343  -270220.944       11.601   221.6
2.2300      -270209.340  -270220.720       11.381   217.4
2.2400      -270209.340  -270221.115       11.775   224.9
2.2500      -270209.337  -270220.364       11.027   210.6
2.2600      -270209.342  -270220.670       11.327   216.4
2.2700      -270209.339  -270220.118       10.779   205.9
2.2800      -270209.343  -270221.032       11.689   223.3
2.2900      -270209.343  -270221.559       12.217   233.4
2.3000      -270209.342  -270221.761       12.419   237.2
2.3100      -270209.343  -270221.767       12.424   237.3
2.3200      -270209.344  -270221.982       12.638   241.4
2.3300      -270209.344  -270222.044       12.700   242.6
2.3400      -270209.346  -270221.861       12.514   239.0
2.3500      -270209.343  -270221.173       11.830   226.0
2.3600      -270209.338  -270220.919       11.581   221.2
2.3700      -270209.338  -270220.666       11.328   216.4
2.3800      -270209.338  -270220.567       11.229   214.5
2.3900      -270209.337  -270220.583       11.246   214.8
2.4000      -270209.338  -270220.924       11.586   221.3
2.4100      -270209.338  -270220.941       11.604   221.7
2.4200      -270209.334  -270220.188       10.854   207.3
2.4300      -270209.332  -270220.368       11.036   210.8
2.4400      -270209.337  -270220.818       11.482   219.3
2.4500      -270209.336  -270220.661       11.324   216.3
2.4600      -270209.338  -270220.498       11.160   213.2
2.4700      -270209.344  -270220.383       11.039   210.9
2.4800      -270209.345  -270220.255       10.910   208.4
2.4900      -270209.347  -270220.721       11.375   217.3
2.5000      -270209.344  -270220.309       10.965   209.5
2.5100      -270209.344  -270220.385       11.041   210.9
2.5200      -270209.341  -270220.807       11.465   219.0
2.5300      -270209.337  -270220.805       11.468   219.1
2.5400      -270209.334  -270220.805       11.471   219.1
2.5500      -270209.335  -270220.846       11.511   219.9
2.5600      -270209.337  -270221.123       11.786   225.1
2.5700      -270209.338  -270221.614       12.275   234.5
2.5800      -270209.341  -270221.313       11.972   228.7
2.5900      -270209.345  -270221.088       11.743   224.3
2.6000      -270209.345  -270221.085       11.740   224.3
2.6100      -270209.343  -270220.802       11.458   218.9
2.6200      -270209.344  -270221.168       11.824   225.9
2.6300      -270209.339  -270220.990       11.651   222.6
2.6400      -270209.336  -270220.811       11.475   219.2
2.6500      -270209.334  -270221.071       11.737   224.2
2.6600      -270209.332  -270220.545       11.213   214.2
2.6700      -270209.339  -270220.175       10.836   207.0
2.6800      -270209.341  -270220.352       11.012   210.3
2.6900      -270209.337  -270221.029       11.692   223.3
2.7000      -270209.336  -270221.035       11.699   223.5
2.7100      -270209.338  -270221.190       11.851   226.4
2.7200      -270209.344  -270221.379       12.035   229.9
2.7300      -270209.346  -270221.060       11.715   223.8
2.7400      -270209.348  -270221.568       12.220   233.4
2.7500      -270209.349  -270221.377       12.027   229.7
2.7600      -270209.349  -270221.032       11.682   223.2
2.7700      -270209.341  -270220.820       11.479   219.3
2.7800      -270209.339  -270220.961       11.622   222.0
2.7900      -270209.343  -270221.005       11.662   222.8
2.8000      -270209.343  -270221.340       11.996   229.2
2.8100      -270209.342  -270221.167       11.826   225.9
2.8200      -270209.345  -270221.593       12.248   234.0
2.8300      -270209.345  -270221.482       12.138   231.9
2.8400      -270209.345  -270221.351       12.007   229.4
2.8500      -270209.345  -270221.444       12.099   231.1
2.8600      -270209.345  -270221.589       12.244   233.9
2.8700      -270209.347  -270221.372       12.025   229.7
2.8800      -270209.348  -270221.331       11.984   228.9
2.8900      -270209.343  -270221.115       11.772   224.9
2.9000      -270209.351  -270222.050       12.699   242.6
2.9100      -270209.345  -270221.003       11.658   222.7
2.9200      -270209.344  -270221.079       11.735   224.2
2.9300      -270209.346  -270221.208       11.861   226.6
2.9400      -270209.345  -270221.247       11.901   227.3
2.9500      -270209.346  -270221.401       12.055   230.3
2.9600      -270209.340  -270220.780       11.439   218.5
2.9700      -270209.339  -270221.137       11.799   225.4
2.9800      -270209.341  -270221.030       11.689   223.3
2.9900      -270209.344  -270220.798       11.455   218.8
3.0000      -270209.344  -270221.207       11.863   226.6
3.0100      -270209.341  -270221.009       11.668   222.9
3.0200      -270209.338  -270220.160       10.822   206.7
3.0300      -270209.343  -270221.067       11.723   223.9
3.0400      -270209.344  -270220.903       11.559   220.8
3.0500      -270209.344  -270221.196       11.852   226.4
3.0600      -270209.345  -270221.499       12.154   232.2
3.0700      -270209.345  -270220.831       11.486   219.4
3.0800      -270209.348  -270221.183       11.835   226.1
3.0900      -270209.347  -270221.370       12.022   229.7
3.1000      -270209.350  -270221.191       11.841   226.2
3.1100      -270209.348  -270221.316       11.968   228.6
3.1200      -270209.345  -270220.797       11.452   218.7
3.1300      -270209.349  -270220.813       11.464   219.0
3.1400      -270209.346  -270220.436       11.091   211.9
3.1500      -270209.345  -270220.726       11.381   217.4
3.1600      -270209.345  -270220.967       11.623   222.0
3.1700      -270209.346  -270221.325       11.978   228.8
3.1800      -270209.344  -270221.138       11.794   225.3
3.1900      -270209.337  -270220.308       10.971   209.6
3.2000      -270209.340  -270220.865       11.525   220.2
3.2100      -270209.346  -270221.030       11.684   223.2
3.2200      -270209.345  -270220.322       10.977   209.7
3.2300      -270209.345  -270220.378       11.033   210.7
3.2400      -270209.346  -270220.961       11.615   221.9
3.2500      -270209.344  -270220.983       11.639   222.3
3.2600      -270209.346  -270220.971       11.625   222.1
3.2700      -270209.352  -270221.225       11.873   226.8
3.2800      -270209.350  -270220.847       11.497   219.6
3.2900      -270209.348  -270220.893       11.545   220.5
3.3000      -270209.349  -270220.636       11.286   215.6
3.3100      -270209.347  -270220.336       10.988   209.9
3.3200      -270209.345  -270220.327       10.982   209.8
3.3300      -270209.344  -270220.612       11.268   215.3
3.3400      -270209.336  -270220.498       11.162   213.2
