Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.2600      -281841.331  -281861.494       20.164   372.3
1.2700      -281841.321  -281860.760       19.439   358.9
1.2800      -281841.330  -281861.525       20.195   372.9
1.2900      -281841.306  -281861.382       20.076   370.7
1.3000      -281841.316  -281862.437       21.121   390.0
1.3100      -281841.320  -281862.213       20.893   385.8
1.3200      -281841.329  -281862.153       20.823   384.5
1.3300      -281841.317  -281861.292       19.975   368.8
1.3400      -281841.330  -281862.250       20.920   386.3
1.3500      -281841.343  -281863.588       22.245   410.7
1.3600      -281841.335  -281862.242       20.907   386.0
1.3700      -281841.339  -281861.967       20.628   380.9
1.3800      -281841.319  -281861.676       20.357   375.9
1.3900      -281841.320  -281862.174       20.854   385.0
1.4000      -281841.332  -281862.818       21.485   396.7
1.4100      -281841.327  -281862.860       21.532   397.6
1.4200      -281841.327  -281862.267       20.940   386.6
1.4300      -281841.332  -281862.615       21.283   393.0
1.4400      -281841.314  -281861.016       19.703   363.8
1.4500      -281841.314  -281861.405       20.091   371.0
1.4600      -281841.346  -281862.679       21.333   393.9
1.4700      -281841.366  -281862.399       21.033   388.3
1.4800      -281841.365  -281863.381       22.016   406.5
1.4900      -281841.351  -281862.345       20.995   387.6
1.5000      -281841.346  -281862.417       21.071   389.1
1.5100      -281841.342  -281861.846       20.504   378.6
1.5200      -281841.340  -281862.021       20.681   381.8
1.5300      -281841.345  -281861.815       20.470   378.0
1.5400      -281841.348  -281862.532       21.184   391.1
1.5500      -281841.333  -281861.379       20.045   370.1
1.5600      -281841.318  -281861.349       20.031   369.8
1.5700      -281841.329  -281861.746       20.417   377.0
1.5800      -281841.345  -281862.547       21.203   391.5
1.5900      -281841.329  -281861.630       20.300   374.8
1.6000      -281841.335  -281862.521       21.186   391.2
1.6100      -281841.348  -281863.245       21.897   404.3
1.6200      -281841.336  -281862.319       20.983   387.4
1.6300      -281841.335  -281862.865       21.530   397.5
1.6400      -281841.345  -281861.947       20.602   380.4
1.6500      -281841.374  -281862.950       21.576   398.4
1.6600      -281841.351  -281862.082       20.731   382.8
1.6700      -281841.336  -281861.925       20.589   380.1
1.6800      -281841.343  -281862.969       21.626   399.3
1.6900      -281841.326  -281862.141       20.815   384.3
1.7000      -281841.330  -281862.302       20.972   387.2
1.7100      -281841.347  -281862.388       21.041   388.5
1.7200      -281841.352  -281862.178       20.826   384.5
1.7300      -281841.322  -281861.705       20.383   376.4
1.7400      -281841.330  -281861.626       20.295   374.7
1.7500      -281841.320  -281861.224       19.905   367.5
1.7600      -281841.322  -281862.378       21.056   388.8
1.7700      -281841.325  -281861.584       20.259   374.0
1.7800      -281841.338  -281862.370       21.031   388.3
1.7900      -281841.353  -281862.865       21.511   397.2
1.8000      -281841.358  -281862.636       21.278   392.9
1.8100      -281841.367  -281862.883       21.516   397.3
1.8200      -281841.336  -281861.444       20.109   371.3
1.8300      -281841.325  -281861.415       20.089   370.9
1.8400      -281841.336  -281860.819       19.483   359.7
1.8500      -281841.333  -281861.203       19.870   366.9
1.8600      -281841.320  -281860.996       19.676   363.3
1.8700      -281841.342  -281861.305       19.963   368.6
1.8800      -281841.346  -281861.854       20.508   378.7
1.8900      -281841.341  -281863.072       21.731   401.2
1.9000      -281841.338  -281862.001       20.663   381.5
1.9100      -281841.353  -281861.419       20.066   370.5
1.9200      -281841.360  -281861.904       20.544   379.3
1.9300      -281841.344  -281862.907       21.563   398.1
1.9400      -281841.346  -281862.508       21.162   390.7
1.9500      -281841.332  -281862.210       20.878   385.5
1.9600      -281841.330  -281862.277       20.947   386.8
1.9700      -281841.337  -281861.997       20.659   381.4
1.9800      -281841.339  -281861.854       20.515   378.8
1.9900      -281841.337  -281861.380       20.044   370.1
2.0000      -281841.353  -281862.055       20.703   382.2
2.0100      -281841.361  -281861.835       20.474   378.0
2.0200      -281841.331  -281860.516       19.184   354.2
2.0300      -281841.328  -281862.817       21.489   396.8
2.0400      -281841.315  -281862.299       20.984   387.4
2.0500      -281841.327  -281862.761       21.434   395.8
2.0600      -281841.324  -281862.207       20.883   385.6
2.0700      -281841.346  -281863.805       22.458   414.7
2.0800      -281841.374  -281864.113       22.739   419.8
2.0900      -281841.364  -281864.313       22.949   423.7
2.1000      -281841.330  -281862.133       20.803   384.1
2.1100      -281841.327  -281862.523       21.195   391.3
2.1200      -281841.343  -281863.113       21.770   402.0
2.1300      -281841.346  -281862.656       21.310   393.5
2.1400      -281841.337  -281862.303       20.966   387.1
2.1500      -281841.330  -281862.243       20.913   386.1
2.1600      -281841.334  -281861.766       20.432   377.3
2.1700      -281841.348  -281862.524       21.176   391.0
2.1800      -281841.345  -281863.260       21.915   404.6
2.1900      -281841.328  -281862.079       20.750   383.1
2.2000      -281841.338  -281862.513       21.176   391.0
2.2100      -281841.345  -281861.808       20.464   377.8
2.2200      -281841.343  -281862.261       20.918   386.2
2.2300      -281841.345  -281863.032       21.687   400.4
2.2400      -281841.356  -281863.062       21.706   400.8
2.2500      -281841.343  -281863.219       21.876   403.9
2.2600      -281841.339  -281864.198       22.859   422.1
2.2700      -281841.346  -281862.882       21.536   397.6
2.2800      -281841.356  -281862.519       21.164   390.8
2.2900      -281841.349  -281862.594       21.246   392.3
2.3000      -281841.330  -281862.248       20.918   386.2
2.3100      -281841.344  -281862.732       21.388   394.9
2.3200      -281841.346  -281862.833       21.487   396.7
2.3300      -281841.337  -281862.235       20.899   385.9
2.3400      -281841.351  -281863.228       21.877   403.9
2.3500      -281841.353  -281863.292       21.939   405.1
2.3600      -281841.353  -281862.875       21.522   397.4
2.3700      -281841.348  -281862.768       21.421   395.5
2.3800      -281841.339  -281862.614       21.274   392.8
2.3900      -281841.351  -281861.986       20.635   381.0
2.4000      -281841.350  -281862.014       20.664   381.5
2.4100      -281841.350  -281862.515       21.165   390.8
2.4200      -281841.346  -281861.354       20.008   369.4
2.4300      -281841.364  -281862.320       20.956   386.9
2.4400      -281841.347  -281862.409       21.062   388.9
2.4500      -281841.346  -281862.889       21.543   397.8
2.4600      -281841.331  -281861.793       20.461   377.8
2.4700      -281841.321  -281861.582       20.261   374.1
2.4800      -281841.345  -281861.548       20.203   373.0
2.4900      -281841.370  -281862.572       21.203   391.5
2.5000      -281841.358  -281862.622       21.264   392.6
2.5100      -281841.347  -281863.673       22.326   412.2
2.5200      -281841.347  -281862.419       21.071   389.1
2.5300      -281841.343  -281862.513       21.170   390.9
2.5400      -281841.341  -281863.299       21.958   405.4
2.5500      -281841.349  -281863.292       21.943   405.1
2.5600      -281841.350  -281862.592       21.242   392.2
2.5700      -281841.326  -281860.922       19.597   361.8
2.5800      -281841.344  -281861.856       20.512   378.7
2.5900      -281841.347  -281861.987       20.640   381.1
2.6000      -281841.353  -281862.257       20.904   386.0
2.6100      -281841.364  -281861.771       20.407   376.8
2.6200      -281841.379  -281862.446       21.067   389.0
2.6300      -281841.370  -281863.073       21.703   400.7
2.6400      -281841.351  -281863.486       22.135   408.7
2.6500      -281841.330  -281862.759       21.428   395.6
2.6600      -281841.323  -281863.726       22.403   413.6
2.6700      -281841.321  -281862.508       21.187   391.2
2.6800      -281841.341  -281863.209       21.868   403.8
2.6900      -281841.357  -281863.325       21.967   405.6
2.7000      -281841.348  -281862.625       21.277   392.9
2.7100      -281841.363  -281862.408       21.045   388.6
2.7200      -281841.360  -281862.180       20.820   384.4
2.7300      -281841.340  -281860.973       19.633   362.5
2.7400      -281841.359  -281863.203       21.844   403.3
2.7500      -281841.359  -281861.525       20.167   372.4
2.7600      -281841.340  -281861.629       20.288   374.6
2.7700      -281841.339  -281861.850       20.510   378.7
2.7800      -281841.351  -281862.223       20.872   385.4
2.7900      -281841.344  -281862.478       21.134   390.2
2.8000      -281841.346  -281862.902       21.557   398.0
2.8100      -281841.349  -281861.913       20.564   379.7
2.8200      -281841.361  -281863.545       22.184   409.6
2.8300      -281841.349  -281861.889       20.540   379.2
2.8400      -281841.358  -281862.214       20.855   385.1
2.8500      -281841.343  -281862.008       20.665   381.5
2.8600      -281841.331  -281860.980       19.649   362.8
2.8700      -281841.348  -281862.121       20.773   383.6
2.8800      -281841.346  -281862.159       20.813   384.3
2.8900      -281841.327  -281862.201       20.874   385.4
2.9000      -281841.331  -281861.463       20.132   371.7
2.9100      -281841.346  -281862.537       21.191   391.3
2.9200      -281841.353  -281862.632       21.279   392.9
2.9300      -281841.363  -281863.042       21.679   400.3
2.9400      -281841.362  -281862.141       20.779   383.7
2.9500      -281841.354  -281862.669       21.315   393.6
2.9600      -281841.371  -281862.377       21.006   387.9
2.9700      -281841.363  -281861.868       20.505   378.6
2.9800      -281841.356  -281861.648       20.292   374.7
2.9900      -281841.367  -281862.862       21.494   396.9
3.0000      -281841.386  -281864.600       23.214   428.6
3.0100      -281841.353  -281862.262       20.909   386.1
3.0200      -281841.331  -281861.785       20.454   377.7
3.0300      -281841.358  -281862.348       20.991   387.6
3.0400      -281841.359  -281861.858       20.499   378.5
3.0500      -281841.364  -281862.679       21.316   393.6
3.0600      -281841.366  -281862.183       20.817   384.4
3.0700      -281841.368  -281862.478       21.110   389.8
3.0800      -281841.338  -281861.596       20.258   374.0
3.0900      -281841.347  -281863.063       21.717   401.0
3.1000      -281841.343  -281862.519       21.176   391.0
3.1100      -281841.350  -281862.066       20.717   382.5
3.1200      -281841.362  -281863.149       21.788   402.3
3.1300      -281841.359  -281862.131       20.772   383.5
3.1400      -281841.354  -281862.561       21.207   391.6
3.1500      -281841.350  -281862.120       20.769   383.5
3.1600      -281841.353  -281862.644       21.290   393.1
3.1700      -281841.335  -281862.250       20.915   386.2
3.1800      -281841.345  -281862.505       21.161   390.7
3.1900      -281841.357  -281862.139       20.783   383.7
3.2000      -281841.365  -281862.083       20.718   382.5
3.2100      -281841.369  -281862.697       21.328   393.8
3.2200      -281841.370  -281861.816       20.446   377.5
3.2300      -281841.358  -281862.547       21.189   391.2
3.2400      -281841.346  -281862.153       20.807   384.2
3.2500      -281841.367  -281863.845       22.478   415.0
3.2600      -281841.362  -281861.526       20.164   372.3
3.2700      -281841.365  -281863.239       21.874   403.9
3.2800      -281841.371  -281863.404       22.033   406.8
3.2900      -281841.349  -281861.756       20.407   376.8
3.3000      -281841.349  -281863.220       21.871   403.8
3.3100      -281841.354  -281862.914       21.560   398.1
3.3200      -281841.373  -281864.244       22.871   422.3
3.3300      -281841.360  -281862.780       21.420   395.5
3.3400      -281841.369  -281863.048       21.679   400.3
3.3500      -281841.373  -281863.736       22.364   412.9
3.3600      -281841.370  -281863.339       21.969   405.6
3.3700      -281841.360  -281861.841       20.481   378.1
3.3800      -281841.372  -281862.239       20.867   385.3
3.3900      -281841.355  -281862.745       21.389   394.9
3.4000      -281841.353  -281863.038       21.685   400.4
3.4100      -281841.351  -281862.047       20.695   382.1
3.4200      -281841.344  -281861.770       20.426   377.1
3.4300      -281841.341  -281862.531       21.190   391.3
3.4400      -281841.361  -281862.873       21.512   397.2
3.4500      -281841.367  -281864.201       22.834   421.6
3.4600      -281841.351  -281862.279       20.928   386.4
3.4700      -281841.350  -281862.769       21.418   395.5
3.4800      -281841.374  -281863.388       22.014   406.5
3.4900      -281841.351  -281863.188       21.837   403.2
3.5000      -281841.350  -281863.196       21.846   403.4
3.5100      -281841.346  -281862.484       21.138   390.3
3.5200      -281841.355  -281862.820       21.466   396.3
3.5300      -281841.352  -281863.489       22.137   408.7
3.5400      -281841.364  -281862.609       21.245   392.3
3.5500      -281841.376  -281862.699       21.323   393.7
3.5600      -281841.363  -281863.111       21.748   401.6
3.5700      -281841.333  -281862.655       21.321   393.7
3.5800      -281841.357  -281864.272       22.915   423.1
3.5900      -281841.371  -281863.197       21.826   403.0
3.6000      -281841.382  -281864.202       22.820   421.3
3.6100      -281841.368  -281863.507       22.139   408.8
3.6200      -281841.368  -281863.251       21.883   404.0
3.6300      -281841.364  -281862.245       20.881   385.5
3.6400      -281841.361  -281862.718       21.358   394.3
3.6500      -281841.363  -281862.448       21.084   389.3
3.6600      -281841.368  -281862.655       21.287   393.0
3.6700      -281841.369  -281863.223       21.854   403.5
3.6800      -281841.357  -281862.317       20.960   387.0
3.6900      -281841.362  -281862.889       21.527   397.5
3.7000      -281841.376  -281862.483       21.107   389.7
3.7100      -281841.404  -281863.477       22.073   407.6
3.7200      -281841.383  -281863.473       22.090   407.9
3.7300      -281841.353  -281862.958       21.606   398.9
3.7400      -281841.364  -281862.885       21.521   397.4
3.7500      -281841.367  -281862.544       21.178   391.0
3.7600      -281841.367  -281863.686       22.319   412.1
3.7700      -281841.363  -281862.360       20.996   387.7
3.7800      -281841.373  -281862.495       21.122   390.0
3.7900      -281841.374  -281862.896       21.523   397.4
3.8000      -281841.351  -281862.776       21.425   395.6
3.8100      -281841.352  -281862.255       20.903   385.9
3.8200      -281841.370  -281862.676       21.306   393.4
3.8300      -281841.375  -281863.201       21.827   403.0
3.8400      -281841.377  -281863.959       22.582   417.0
3.8500      -281841.360  -281862.702       21.342   394.1
3.8600      -281841.361  -281863.078       21.716   401.0
3.8700      -281841.362  -281863.944       22.582   416.9
3.8800      -281841.367  -281863.175       21.808   402.7
3.8900      -281841.378  -281864.074       22.696   419.0
3.9000      -281841.366  -281862.952       21.586   398.6
