Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.2600      -166684.215  -166692.531        8.317   269.2
1.2700      -166684.215  -166692.936        8.721   282.3
1.2800      -166684.224  -166693.017        8.794   284.6
1.2900      -166684.230  -166692.522        8.292   268.4
1.3000      -166684.223  -166692.625        8.401   271.9
1.3100      -166684.221  -166692.606        8.385   271.4
1.3200      -166684.228  -166692.559        8.331   269.7
1.3300      -166684.225  -166692.803        8.578   277.7
1.3400      -166684.219  -166693.285        9.066   293.5
1.3500      -166684.221  -166693.169        8.948   289.7
1.3600      -166684.227  -166693.314        9.087   294.1
1.3700      -166684.217  -166692.840        8.623   279.1
1.3800      -166684.211  -166693.055        8.844   286.3
1.3900      -166684.220  -166692.482        8.262   267.4
1.4000      -166684.227  -166692.097        7.870   254.7
1.4100      -166684.221  -166692.088        7.867   254.7
1.4200      -166684.225  -166693.220        8.994   291.1
1.4300      -166684.226  -166692.577        8.351   270.3
1.4400      -166684.226  -166692.486        8.260   267.4
1.4500      -166684.227  -166692.709        8.481   274.5
1.4600      -166684.220  -166692.492        8.272   267.8
1.4700      -166684.209  -166692.422        8.214   265.9
1.4800      -166684.217  -166692.810        8.593   278.2
1.4900      -166684.216  -166692.955        8.739   282.9
1.5000      -166684.211  -166692.332        8.120   262.9
1.5100      -166684.213  -166692.870        8.657   280.2
1.5200      -166684.219  -166693.159        8.940   289.4
1.5300      -166684.223  -166692.862        8.639   279.6
1.5400      -166684.218  -166692.541        8.323   269.4
1.5500      -166684.210  -166692.736        8.526   276.0
1.5600      -166684.222  -166693.002        8.780   284.2
1.5700      -166684.229  -166693.089        8.860   286.8
1.5800      -166684.229  -166692.855        8.626   279.2
1.5900      -166684.225  -166692.980        8.755   283.4
1.6000      -166684.228  -166692.726        8.498   275.1
1.6100      -166684.223  -166692.563        8.340   270.0
1.6200      -166684.218  -166692.627        8.409   272.2
1.6300      -166684.223  -166692.788        8.565   277.2
1.6400      -166684.220  -166692.799        8.579   277.7
1.6500      -166684.221  -166692.387        8.167   264.4
1.6600      -166684.228  -166693.193        8.965   290.2
1.6700      -166684.233  -166693.136        8.903   288.2
1.6800      -166684.224  -166693.087        8.863   286.9
1.6900      -166684.231  -166693.326        9.095   294.4
1.7000      -166684.240  -166693.418        9.178   297.1
1.7100      -166684.229  -166693.292        9.063   293.4
1.7200      -166684.222  -166693.223        9.001   291.4
1.7300      -166684.227  -166693.287        9.061   293.3
1.7400      -166684.227  -166693.077        8.850   286.5
1.7500      -166684.224  -166693.388        9.164   296.6
1.7600      -166684.229  -166693.072        8.843   286.2
1.7700      -166684.225  -166693.005        8.779   284.2
1.7800      -166684.221  -166693.002        8.781   284.2
1.7900      -166684.224  -166693.259        9.035   292.5
1.8000      -166684.220  -166692.715        8.494   275.0
1.8100      -166684.203  -166692.884        8.681   281.0
1.8200      -166684.215  -166693.177        8.962   290.1
1.8300      -166684.226  -166693.736        9.510   307.8
1.8400      -166684.220  -166692.854        8.634   279.5
1.8500      -166684.227  -166693.516        9.289   300.7
1.8600      -166684.228  -166693.123        8.895   287.9
1.8700      -166684.214  -166693.361        9.147   296.1
1.8800      -166684.216  -166693.897        9.680   313.4
1.8900      -166684.221  -166693.136        8.915   288.6
1.9000      -166684.226  -166693.207        8.981   290.7
1.9100      -166684.218  -166692.319        8.102   262.2
1.9200      -166684.224  -166693.262        9.038   292.6
1.9300      -166684.216  -166693.116        8.900   288.1
1.9400      -166684.215  -166693.357        9.142   295.9
1.9500      -166684.224  -166693.946        9.722   314.7
1.9600      -166684.214  -166693.322        9.108   294.8
1.9700      -166684.211  -166692.944        8.733   282.7
1.9800      -166684.224  -166692.822        8.598   278.3
1.9900      -166684.235  -166693.141        8.906   288.3
2.0000      -166684.226  -166692.836        8.610   278.7
2.0100      -166684.243  -166693.968        9.725   314.8
2.0200      -166684.238  -166693.343        9.105   294.7
2.0300      -166684.233  -166693.154        8.921   288.8
2.0400      -166684.226  -166692.649        8.423   272.6
2.0500      -166684.233  -166692.728        8.495   275.0
2.0600      -166684.227  -166692.850        8.623   279.1
2.0700      -166684.232  -166692.987        8.755   283.4
2.0800      -166684.239  -166693.572        9.333   302.1
2.0900      -166684.226  -166693.808        9.582   310.2
2.1000      -166684.217  -166693.010        8.794   284.7
2.1100      -166684.220  -166693.013        8.793   284.6
2.1200      -166684.233  -166693.308        9.075   293.7
2.1300      -166684.230  -166692.895        8.664   280.5
2.1400      -166684.240  -166693.100        8.860   286.8
2.1500      -166684.239  -166692.895        8.656   280.2
2.1600      -166684.224  -166692.155        7.930   256.7
2.1700      -166684.221  -166692.741        8.520   275.8
2.1800      -166684.225  -166693.411        9.186   297.3
2.1900      -166684.213  -166692.495        8.282   268.1
2.2000      -166684.217  -166692.573        8.357   270.5
2.2100      -166684.228  -166692.399        8.171   264.5
2.2200      -166684.230  -166692.778        8.548   276.7
2.2300      -166684.228  -166692.953        8.725   282.4
2.2400      -166684.229  -166693.097        8.867   287.0
2.2500      -166684.232  -166692.583        8.351   270.3
2.2600      -166684.223  -166692.761        8.539   276.4
2.2700      -166684.234  -166693.358        9.124   295.3
2.2800      -166684.229  -166693.216        8.987   290.9
2.2900      -166684.222  -166693.360        9.138   295.8
2.3000      -166684.224  -166692.761        8.537   276.3
2.3100      -166684.239  -166693.084        8.845   286.3
2.3200      -166684.233  -166692.871        8.638   279.6
2.3300      -166684.231  -166692.846        8.615   278.9
2.3400      -166684.228  -166692.921        8.693   281.4
2.3500      -166684.220  -166693.331        9.111   294.9
2.3600      -166684.223  -166692.443        8.220   266.1
2.3700      -166684.233  -166692.190        7.957   257.6
2.3800      -166684.234  -166692.900        8.666   280.5
2.3900      -166684.222  -166692.564        8.342   270.0
2.4000      -166684.221  -166692.324        8.103   262.3
2.4100      -166684.226  -166692.700        8.474   274.3
2.4200      -166684.235  -166692.936        8.702   281.7
2.4300      -166684.241  -166693.202        8.961   290.1
2.4400      -166684.242  -166693.576        9.334   302.1
2.4500      -166684.219  -166693.843        9.624   311.5
2.4600      -166684.212  -166693.634        9.422   305.0
2.4700      -166684.219  -166693.495        9.276   300.3
2.4800      -166684.219  -166693.133        8.914   288.5
2.4900      -166684.221  -166692.961        8.740   282.9
2.5000      -166684.234  -166693.906        9.672   313.1
2.5100      -166684.234  -166693.834        9.601   310.8
2.5200      -166684.214  -166692.362        8.148   263.7
2.5300      -166684.217  -166692.731        8.514   275.6
2.5400      -166684.215  -166692.913        8.699   281.6
2.5500      -166684.224  -166693.082        8.858   286.7
2.5600      -166684.229  -166693.111        8.882   287.5
2.5700      -166684.237  -166693.838        9.601   310.8
2.5800      -166684.231  -166693.824        9.593   310.5
2.5900      -166684.234  -166692.756        8.522   275.9
2.6000      -166684.240  -166692.940        8.700   281.6
2.6100      -166684.234  -166692.991        8.757   283.5
2.6200      -166684.227  -166693.384        9.157   296.4
2.6300      -166684.233  -166692.685        8.452   273.6
2.6400      -166684.229  -166693.059        8.830   285.8
2.6500      -166684.229  -166693.322        9.093   294.4
2.6600      -166684.235  -166693.544        9.309   301.3
2.6700      -166684.227  -166693.080        8.853   286.6
2.6800      -166684.231  -166692.936        8.705   281.8
2.6900      -166684.247  -166693.249        9.002   291.4
2.7000      -166684.240  -166693.067        8.827   285.7
2.7100      -166684.226  -166693.216        8.990   291.0
2.7200      -166684.235  -166692.858        8.622   279.1
2.7300      -166684.238  -166693.581        9.343   302.4
2.7400      -166684.236  -166693.183        8.947   289.6
2.7500      -166684.245  -166693.573        9.327   301.9
2.7600      -166684.237  -166692.724        8.487   274.7
2.7700      -166684.218  -166692.541        8.323   269.4
2.7800      -166684.231  -166694.142        9.910   320.8
2.7900      -166684.228  -166693.388        9.160   296.5
2.8000      -166684.225  -166693.539        9.314   301.5
2.8100      -166684.217  -166693.043        8.826   285.7
2.8200      -166684.222  -166693.080        8.858   286.7
2.8300      -166684.213  -166693.528        9.316   301.5
2.8400      -166684.216  -166693.641        9.425   305.1
2.8500      -166684.229  -166693.541        9.312   301.4
2.8600      -166684.221  -166692.521        8.299   268.7
2.8700      -166684.228  -166693.335        9.108   294.8
2.8800      -166684.236  -166693.677        9.440   305.6
2.8900      -166684.223  -166693.016        8.793   284.6
2.9000      -166684.215  -166692.870        8.655   280.2
2.9100      -166684.229  -166692.935        8.706   281.8
2.9200      -166684.229  -166693.286        9.057   293.2
2.9300      -166684.228  -166693.312        9.084   294.0
2.9400      -166684.236  -166693.628        9.391   304.0
2.9500      -166684.228  -166693.375        9.147   296.1
2.9600      -166684.210  -166693.382        9.172   296.9
2.9700      -166684.236  -166693.670        9.434   305.4
2.9800      -166684.234  -166693.714        9.480   306.9
2.9900      -166684.239  -166693.935        9.696   313.8
3.0000      -166684.235  -166693.773        9.538   308.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -166684.183  -166684.183        0.000     0.0
0.0100      -166684.201  -166687.222        3.021    97.8
0.0200      -166684.210  -166688.265        4.056   131.3
0.0300      -166684.214  -166688.788        4.574   148.1
0.0400      -166684.213  -166688.863        4.650   150.5
0.0500      -166684.214  -166689.427        5.213   168.7
0.0600      -166684.216  -166689.639        5.423   175.5
0.0700      -166684.210  -166689.533        5.323   172.3
0.0800      -166684.205  -166689.182        4.977   161.1
0.0900      -166684.207  -166689.454        5.247   169.8
0.1000      -166684.209  -166689.851        5.642   182.6
0.1100      -166684.220  -166690.065        5.846   189.2
0.1200      -166684.224  -166689.897        5.673   183.6
0.1300      -166684.224  -166689.961        5.737   185.7
0.1400      -166684.204  -166689.312        5.109   165.4
0.1500      -166684.206  -166689.517        5.311   171.9
0.1600      -166684.203  -166689.802        5.599   181.2
0.1700      -166684.198  -166689.521        5.323   172.3
0.1800      -166684.209  -166689.403        5.194   168.1
0.1900      -166684.208  -166689.157        4.950   160.2
0.2000      -166684.221  -166689.383        5.162   167.1
0.2100      -166684.222  -166689.595        5.373   173.9
0.2200      -166684.225  -166689.818        5.593   181.0
0.2300      -166684.226  -166689.767        5.541   179.4
0.2400      -166684.227  -166690.601        6.373   206.3
0.2500      -166684.227  -166690.851        6.624   214.4
0.2600      -166684.224  -166690.441        6.217   201.2
0.2700      -166684.223  -166690.448        6.225   201.5
0.2800      -166684.221  -166690.724        6.503   210.5
0.2900      -166684.222  -166690.713        6.491   210.1
0.3000      -166684.218  -166690.671        6.453   208.9
0.3100      -166684.214  -166691.256        7.042   227.9
0.3200      -166684.223  -166690.865        6.642   215.0
0.3300      -166684.223  -166690.859        6.636   214.8
0.3400      -166684.212  -166690.889        6.677   216.1
0.3500      -166684.212  -166690.817        6.604   213.8
0.3600      -166684.212  -166690.646        6.433   208.2
0.3700      -166684.222  -166690.941        6.718   217.5
0.3800      -166684.210  -166691.101        6.891   223.1
0.3900      -166684.218  -166690.845        6.627   214.5
0.4000      -166684.220  -166691.281        7.061   228.6
0.4100      -166684.223  -166691.318        7.095   229.6
0.4200      -166684.222  -166691.057        6.835   221.2
0.4300      -166684.218  -166690.998        6.781   219.5
0.4400      -166684.215  -166691.297        7.082   229.2
0.4500      -166684.214  -166691.239        7.024   227.4
0.4600      -166684.214  -166691.373        7.159   231.7
0.4700      -166684.212  -166691.902        7.690   248.9
0.4800      -166684.214  -166691.952        7.738   250.5
0.4900      -166684.212  -166691.645        7.433   240.6
0.5000      -166684.217  -166692.255        8.039   260.2
0.5100      -166684.217  -166692.668        8.451   273.5
0.5200      -166684.216  -166692.601        8.385   271.4
0.5300      -166684.211  -166692.168        7.956   257.5
0.5400      -166684.213  -166692.830        8.617   278.9
0.5500      -166684.211  -166692.150        7.939   257.0
0.5600      -166684.216  -166692.343        8.127   263.1
0.5700      -166684.214  -166692.221        8.007   259.2
0.5800      -166684.222  -166692.611        8.389   271.6
0.5900      -166684.219  -166692.701        8.482   274.6
0.6000      -166684.212  -166692.224        8.012   259.3
0.6100      -166684.215  -166692.814        8.599   278.3
0.6200      -166684.212  -166692.200        7.988   258.6
0.6300      -166684.213  -166691.901        7.688   248.9
0.6400      -166684.212  -166691.771        7.559   244.7
0.6500      -166684.212  -166691.921        7.709   249.5
0.6600      -166684.218  -166692.579        8.361   270.6
0.6700      -166684.220  -166692.625        8.405   272.1
0.6800      -166684.222  -166692.254        8.032   260.0
0.6900      -166684.220  -166691.829        7.610   246.3
0.7000      -166684.217  -166691.498        7.281   235.7
0.7100      -166684.222  -166691.845        7.623   246.8
0.7200      -166684.219  -166691.638        7.419   240.1
0.7300      -166684.222  -166692.364        8.142   263.6
0.7400      -166684.220  -166692.647        8.427   272.8
0.7500      -166684.214  -166692.416        8.203   265.5
0.7600      -166684.215  -166692.739        8.524   275.9
0.7700      -166684.218  -166692.879        8.661   280.4
0.7800      -166684.216  -166692.600        8.384   271.4
0.7900      -166684.214  -166692.621        8.407   272.1
0.8000      -166684.214  -166692.705        8.490   274.8
0.8100      -166684.215  -166692.407        8.192   265.2
0.8200      -166684.214  -166692.497        8.283   268.1
0.8300      -166684.214  -166692.102        7.888   255.3
0.8400      -166684.223  -166692.428        8.204   265.6
0.8500      -166684.220  -166692.387        8.167   264.4
0.8600      -166684.222  -166692.042        7.819   253.1
0.8700      -166684.220  -166692.023        7.803   252.6
0.8800      -166684.218  -166692.738        8.520   275.8
0.8900      -166684.213  -166692.875        8.662   280.4
0.9000      -166684.222  -166693.273        9.051   293.0
0.9100      -166684.231  -166693.137        8.906   288.3
0.9200      -166684.236  -166693.230        8.995   291.2
0.9300      -166684.230  -166693.576        9.346   302.5
0.9400      -166684.223  -166693.361        9.138   295.8
